count,sendLat,sendLon,receiveLat,receiveLon
3,47.0691371, 15.4503154,48.14966, 11.5678602
1,47.0691371, 15.4503154,48.78164719999999, 9.1724985
1,47.0691371, 15.4503154,50.7800778, 6.065686899999999
2,47.0691371, 15.4503154,52.5125322, 13.3269446
1,47.0691371, 15.4503154,53.5403186, 10.0050323
1,47.0693, 15.4097888,51.2468622, 6.791686899999999
2,47.0693, 15.4097888,52.0367238, 8.4952413
3,47.0693, 15.4097888,52.413501, 13.0512984
4,47.0693, 15.4097888,52.5373728, 13.6059983
2,47.0693, 15.4097888,53.0726354, 8.7938194
1,47.07225649999999, 15.4499422,48.7784579, 9.1859448
1,47.07225649999999, 15.4499422,50.120309, 8.6761951
1,47.07225649999999, 15.4499422,50.978381, 11.331502
2,47.07225649999999, 15.4499422,51.2425188, 6.7725351
2,47.07225649999999, 15.4499422,52.516729, 13.4036657
1,47.0777872, 15.4499126,48.9992339, 12.0931658
2,47.0777872, 15.4499126,49.4191402, 8.670249199999999
1,47.0777872, 15.4499126,49.8938345, 10.886138
1,47.0777872, 15.4499126,50.1270675, 8.6677635
1,47.0777872, 15.4499126,50.7267715, 7.0865227
1,47.0777872, 15.4499126,50.8106859, 8.7741641
1,47.0777872, 15.4499126,51.02927340000001, 13.7289964
3,47.0777872, 15.4499126,51.3385738, 12.3784615
1,47.0777872, 15.4499126,51.44566589999999, 7.261609300000001
4,47.0777872, 15.4499126,52.4543245, 13.2934768
2,47.0777872, 15.4499126,52.5125322, 13.3269446
1,47.0777872, 15.4499126,52.517883, 13.3936551
1,47.0777872, 15.4499126,54.3460549, 10.1147022
1,47.0797409, 15.4665653,48.5294782, 9.043773999999999
1,47.0797409, 15.4665653,49.4191402, 8.670249199999999
1,47.0797409, 15.4665653,50.7267715, 7.0865227
1,47.0797409, 15.4665653,52.4543245, 13.2934768
3,47.0797409, 15.4665653,54.095094, 13.3746059
1,47.082634, 15.4339869,48.7914649, 9.8296029
3,47.26303619999999, 11.3844528,48.1504827, 11.5802362
2,47.26303619999999, 11.3844528,48.4222305, 9.955582
1,47.26303619999999, 11.3844528,49.9926403, 8.241555199999999
1,47.26303619999999, 11.3844528,50.9281625, 6.9288193
1,47.26303619999999, 11.3844528,51.02927340000001, 13.7289964
1,47.26303619999999, 11.3844528,52.3835765, 9.8049919
2,47.26303619999999, 11.3844528,52.517883, 13.3936551
1,47.26335419999999, 11.3838006,49.48371059999999, 8.4622333
3,47.26335419999999, 11.3838006,52.4543245, 13.2934768
2,47.26335419999999, 11.3838006,52.5125322, 13.3269446
1,47.26335419999999, 11.3838006,52.517883, 13.3936551
2,47.26905199999999, 11.398186,48.1360421, 11.524422
1,47.26905199999999, 11.398186,52.4932009, 13.5254933
8,47.26905199999999, 11.398186,52.5373728, 13.6059983
1,47.3847372, 15.0930201,50.7800778, 6.065686899999999
2,47.4067642, 9.744422300000002,49.787609, 9.932649
3,47.4067642, 9.744422300000002,52.5373728, 13.6059983
2,47.583807, 12.1736679,47.8674365, 12.1073065
1,47.583807, 12.1736679,50.9112587, 8.025339800000001
2,47.583807, 12.1736679,53.5563757, 10.0226233
1,47.72336, 13.0871409,48.7803251, 9.1726453
1,47.72336, 13.0871409,52.4932009, 13.5254933
1,47.7926778, 13.0541664,52.4543245, 13.2934768
1,47.79722959999999, 13.0479826,51.44566589999999, 7.261609300000001
2,47.79722959999999, 13.0479826,52.4543245, 13.2934768
1,47.79722959999999, 13.0479826,53.5665641, 9.984619499999999
1,47.8038789, 13.0436663,49.4838756, 8.470797
1,47.8038789, 13.0436663,50.9478634, 6.9609627
1,47.8038789, 13.0436663,50.978381, 11.331502
1,47.8038789, 13.0436663,51.332716, 12.366783
1,47.8038789, 13.0436663,52.516729, 13.4036657
1,47.8294118, 16.5350525,52.4854412, 13.3378513
1,47.8295268, 16.5337338,52.4010314, 13.0119098
