Institutional code,Name of Organisation,Country,City,coordinates
SI NOVO-ME08,VISOKA ŠOLA ZA TEHNOLOGIJE IN SISTEME - VITES,SI,NOVO MESTO,"(45.8043383, 15.1635702)"
SI NOVO-ME09,FAKULTETA ZA UPRAVNE IN POSLOVNE VEDE NOVO MESTO,SI,NOVO MESTO,"(45.8043383, 15.1635702)"
SI NOVO-ME10,FAKULTETA ZA ORGANIZACIJSKE ŠTUDIJE V NOVEM MESTU,SI,NOVO MESTO,"(45.806288, 15.1649911)"
SI PORTORO02,GEA COLLEGE - FAKULTETA ZA PODJETNIŠTVO,SI,Piran,"(45.5281915, 13.5675583)"
SI PORTORO03,EVRO-SREDOZEMSKA UNIVERZA / EMUNI UNIVERZA,SI,PORTOROŽ,"(45.5281915, 13.5675583)"
SI POSTOJN01,"ŠOSKI CENTER POSTOJNA, VIŠJA STROKOVNA ŠOLA",SI,POSTOJNA,"(45.77047959999999, 14.2111177)"
SI SKOFJAL01,ŠOLSKI CENTER ŠKOFJA LOKA,SI,ŠKOFJA LOKA,"(46.1694867, 14.3023848)"
SI SLOVENJ01,"SOLSKI CENTER SLOVENJ GRADEC, VIŠJA STROKOVNA SOLA",SI,Slovenj Gradec,"(46.5061446, 15.0774081)"
SI VELENJE01,ŠOLSKI CENTER VELENJE,SI,VELENJE,"(46.3617381, 15.1136129)"
SK BANSKA01,UNIVERZITA MATEJA BELA,SK,Banska Bystrica,"(48.733322, 19.145627)"
SK BANSKA02,AKADEMIA UMENI V BANSKEJ BYSTRICI,SK,BANSKÁ BYSTRICA,"(48.7413184, 19.1524114)"
SK BANSK-S01,"HUDOBNÁ A UMELECKÁ AKADÉMIA JÁNA ALBRECHTA - BANSKÁ ŠTIAVNICA, S.R.O., ODBORNÁ VYSOKÁ ŠKOLA",SK,BANSKÁ ŠTIAVNICA,"(48.4613277, 18.9004233)"
SK BRATISL01,SLOVENSKA TECHNICKA UNIVERZITA V BRATISLAVE,SK,Bratislava,"(48.1547031, 17.1175266)"
SK BRATISL02,UNIVERZITA KOMENSKEHO V BRATISLAVE                                                                                      ,SK,BRATISLAVA,"(48.14119179999999, 17.1159646)"
